問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新,ソース,コンテンツ,データ状態
115A1,115,A,1,e,75.9,No,No,No,No,強皮症腎の患者で認められるのはどれか。,,"a. 大動脈瘤
b. 仙腸関節炎
c. サーモンピンク疹
d. ネフローゼ症候群
e. 血栓性微小血管障害","115A1
強皮症腎の患者で認められるのはどれか。

a 大動脈瘤
b 仙腸関節炎
c サーモンピンク疹
d ネフローゼ症候群
e 血栓性微小血管障害",,2025年8月17日 21:57 (JST),base_data,"解答:
正解:e(正答率 75.9%)",notion_existing
115A10,115,A,10,e,97.8,No,No,No,No,わが国における高安動脈炎について正しいのはどれか。,,"a. 中年男性に多い。
b. 喫煙との関連性が高い。
c. 水晶体偏位を合併しやすい。
d. 浅側頭動脈の炎症を合併しやすい。
e. 大動脈およびその分枝に病変をきたしやすい。","115A10
わが国における高安動脈炎について正しいのはどれか。

a 中年男性に多い。
b 喫煙との関連性が高い。
c 水晶体偏位を合併しやすい。
d 浅側頭動脈の炎症を合併しやすい。
e 大動脈およびその分枝に病変をきたしやすい。",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:e(正答率 97.8%)",notion_existing
115A11,115,A,11,,,,,,,,,,"解答:
正解:a,d(正答率 82.6%)",,,base_data,"解答:
正解:a,d(正答率 82.6%)",restored
115A12,115,A,12,,,,,,,,,,"解答:
正解:a,e(正答率 67.2%)",,,base_data,"解答:
正解:a,e(正答率 67.2%)",restored
115A13,115,A,13,,,,,,,,,,"解答:
正解:a,d(正答率 41.3%)",,,base_data,"解答:
正解:a,d(正答率 41.3%)",restored
115A14,115,A,14,,,,,,,,,,"解答:
正解:a,b(正答率 77.3%)",,,base_data,"解答:
正解:a,b(正答率 77.3%)",restored
115A15,115,A,15,,,,,,,,,,"解答:
正解:c,e(正答率 73.5%)",,,base_data,"解答:
正解:c,e(正答率 73.5%)",restored
115A16,115,A,16,e,95.4,No,No,No,No,"34歳の褥婦。産褥0日で入院中である。妊娠初期の血液検査で血液型はO型RhD(-)と判定された。輸血歴はない。家族歴に特記すべきことはない。妊娠26週の間接Coombs試験は陰性で、妊娠28週時に抗D人免疫グロブリンの投与を受けた。妊娠39週4日に自然陣痛が発来して入院し、2,760gの男児を正常経腟分娩した。新生児血液型はO型RhD(+)と判定された。 母体に行う対応として適切なのはどれか。",,"a. 薬剤投与は行わない
b. アルブミン投与
c. ハプトグロビン投与
d. 副腎皮質ステロイド投与
e. 抗D人免疫グロブリン投与","115A16
34歳の褥婦。産褥0日で入院中である。妊娠初期の血液検査で血液型はO型RhD(-)と判定された。輸血歴はない。家族歴に特記すべきことはない。妊娠26週の間接Coombs試験は陰性で、妊娠28週時に抗D人免疫グロブリンの投与を受けた。妊娠39週4日に自然陣痛が発来して入院し、2,760gの男児を正常経腟分娩した。新生児血液型はO型RhD(+)と判定された。 母体に行う対応として適切なのはどれか。

a 薬剤投与は行わない
b アルブミン投与
c ハプトグロビン投与
d 副腎皮質ステロイド投与
e 抗D人免疫グロブリン投与",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:e(正答率 95.4%)",notion_existing
115A17,115,A,17,e,97.7,No,No,No,No,22歳の女性。子宮頸がん検診の細胞診で、軽度異形成〈子宮頸部上皮内腫瘍〉疑いとされ精査目的で来院した。子宮がん検診を受けたのは今回が初めてである。内診および経腟超音波検査で子宮と卵巣に異常を認めない。腟鏡診では、子宮腟部に肉眼で異常を認めない。 この患者でまず行うのはどれか。,,"a. 子宮全摘出
b. 抗ウイルス薬投与
c. 子宮頸部円錐切除
d. 腫瘍マーカー測定
e. コルポスコピィ検査","115A17
22歳の女性。子宮頸がん検診の細胞診で、軽度異形成〈子宮頸部上皮内腫瘍〉疑いとされ精査目的で来院した。子宮がん検診を受けたのは今回が初めてである。内診および経腟超音波検査で子宮と卵巣に異常を認めない。腟鏡診では、子宮腟部に肉眼で異常を認めない。 この患者でまず行うのはどれか。

a 子宮全摘出
b 抗ウイルス薬投与
c 子宮頸部円錐切除
d 腫瘍マーカー測定
e コルポスコピィ検査",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:e(正答率 97.7%)",notion_existing
115A18,115,A,18,d,97.5,No,Yes,No,No,"1歳の男児。39°C台の発熱とおむつに膿が付着していることを主訴に母親に連れられて来院した。5ヵ月前に39°C台の発熱が3日間持続し、自宅近くの診療所で治療を受けたことがある。尿所見: 蛋白1+,沈渣に赤血球5〜8/HPF,白血球 30〜50/HPF。血液所見: 赤血球 430 万、Hb 12.3 g/dL、Ht 38 %、白血球 13,800.血液生化学所見: 尿素窒素 10 mg/dL、クレアチニン 0.9 mg/dL。排尿時膀胱尿道造影写真を次に示す。 考えられるのはどれか。",,"a. 腎膿瘍
b. 精巣炎
c. 馬蹄腎
d. 膀胱尿管逆流
e. 尿管膀胱外開口","115A18
1歳の男児。39°C台の発熱とおむつに膿が付着していることを主訴に母親に連れられて来院した。5ヵ月前に39°C台の発熱が3日間持続し、自宅近くの診療所で治療を受けたことがある。尿所見: 蛋白1+,沈渣に赤血球5〜8/HPF,白血球 30〜50/HPF。血液所見: 赤血球 430 万、Hb 12.3 g/dL、Ht 38 %、白血球 13,800.血液生化学所見: 尿素窒素 10 mg/dL、クレアチニン 0.9 mg/dL。排尿時膀胱尿道造影写真を次に示す。 考えられるのはどれか。

a 腎膿瘍
b 精巣炎
c 馬蹄腎
d 膀胱尿管逆流
e 尿管膀胱外開口",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:d(正答率 97.5%)",notion_existing
