問題ID,年度,セクション,問題番号,ソース,コンテンツ
115A1,115,A,1,base_data,"解答:
正解:e(正答率 75.9%)"
115A10,115,A,10,base_data,"解答:
正解:e(正答率 97.8%)"
115A11,115,A,11,base_data,"解答:
正解:a,d(正答率 82.6%)"
115A12,115,A,12,base_data,"解答:
正解:a,e(正答率 67.2%)"
115A13,115,A,13,base_data,"解答:
正解:a,d(正答率 41.3%)"
115A14,115,A,14,base_data,"解答:
正解:a,b(正答率 77.3%)"
115A15,115,A,15,base_data,"解答:
正解:c,e(正答率 73.5%)"
115A16,115,A,16,base_data,"解答:
正解:e(正答率 95.4%)"
115A17,115,A,17,base_data,"解答:
正解:e(正答率 97.7%)"
115A18,115,A,18,base_data,"解答:
正解:d(正答率 97.5%)"
115A19,115,A,19,base_data,"解答:
正解:c(正答率 91.9%)"
115A2,115,A,2,base_data,"解答:
正解:a(正答率 96.4%)"
115A20,115,A,20,base_data,"解答:
正解:c(正答率 74.3%)"
115A21,115,A,21,base_data,"解答:
正解:a(正答率 78.6%)"
115A22,115,A,22,base_data,"解答:
正解:c(正答率 99.6%)"
115A23,115,A,23,base_data,"解答:
正解:a(正答率 35.7%)"
115A24,115,A,24,base_data,"解答:
正解:d(正答率 81.3%)"
115A25,115,A,25,base_data,"解答:
正解:a(正答率 89.5%)"
115A26,115,A,26,base_data,"解答:
正解:d(正答率 78.6%)"
115A27,115,A,27,base_data,"解答:
正解:a(正答率 77.7%)"
115A28,115,A,28,base_data,"解答:
正解:e(正答率 74.6%)"
115A29,115,A,29,base_data,"解答:
正解:b(正答率 99.4%)"
115A3,115,A,3,base_data,"解答:
正解:c(正答率 77.7%)"
115A30,115,A,30,base_data,"解答:
正解:b(正答率 98.6%)"
115A31,115,A,31,base_data,"解答:
正解:b(正答率 96.0%)"
115A32,115,A,32,base_data,"解答:
正解:d(正答率 98.3%)"
115A33,115,A,33,base_data,"解答:
正解:a(正答率 88.7%)"
115A34,115,A,34,base_data,"解答:
正解:b(正答率 98.3%)"
115A35,115,A,35,base_data,"解答:
正解:e(正答率 92.7%)"
115A36,115,A,36,base_data,"解答:
正解:c(正答率 94.7%)"
115A37,115,A,37,base_data,"解答:
正解:c(正答率 63.5%)"
115A38,115,A,38,base_data,"解答:
正解:c(正答率 85.6%)"
115A39,115,A,39,base_data,"解答:
正解:e(正答率 90.2%)"
115A4,115,A,4,base_data,"解答:
正解:d(正答率 93.0%)"
115A40,115,A,40,base_data,"解答:
正解:b(正答率 87.2%)"
115A41,115,A,41,base_data,"解答:
正解:e(正答率 96.6%)"
115A42,115,A,42,base_data,"解答:
正解:d(正答率 62.1%)"
115A43,115,A,43,base_data,"解答:
正解:a(正答率 66.1%)"
115A44,115,A,44,base_data,"解答:
正解:b(正答率 97.4%)"
115A45,115,A,45,base_data,"解答:
正解:a(正答率 91.8%)"
115A46,115,A,46,base_data,"解答:
正解:c(正答率 83.4%)"
115A47,115,A,47,base_data,"解答:
正解:d(正答率 98.5%)"
115A48,115,A,48,base_data,"解答:
正解:c(正答率 93.5%)"
115A49,115,A,49,base_data,"解答:
正解:e(正答率 89.7%)"
115A5,115,A,5,base_data,"解答:
正解:a(正答率 90.7%)"
115A50,115,A,50,base_data,"解答:
正解:e(正答率 25.0%)"
115A51,115,A,51,base_data,"解答:
正解:d(正答率 36.7%)"
115A52,115,A,52,base_data,"解答:
正解:b(正答率 84.2%)"
115A53,115,A,53,base_data,"解答:
正解:c(正答率 71.3%)"
115A54,115,A,54,base_data,"解答:
正解:b(正答率 97.9%)"
115A55,115,A,55,base_data,"解答:
正解:c(正答率 97.5%)"
115A56,115,A,56,base_data,"解答:
正解:e(正答率 97.9%)"
115A57,115,A,57,base_data,"解答:
正解:d(正答率 22.6%)"
115A58,115,A,58,base_data,"解答:
正解:d(正答率 92.2%)"
115A59,115,A,59,base_data,"解答:
正解:d(正答率 97.3%)"
115A6,115,A,6,base_data,"解答:
正解:e(正答率 90.2%)"
115A60,115,A,60,base_data,"解答:
正解:e(正答率 36.2%)"
115A61,115,A,61,base_data,"解答:
正解:d(正答率 67.7%)"
115A62,115,A,62,base_data,"解答:
正解:e(正答率 96.4%)"
115A63,115,A,63,base_data,"解答:
正解:a(正答率 99.7%)"
115A64,115,A,64,base_data,"解答:
正解:c(正答率 80.5%)"
115A65,115,A,65,base_data,"解答:
正解:a(正答率 76.7%)"
115A66,115,A,66,base_data,"解答:
正解:a,e(正答率 49.7%)"
115A67,115,A,67,base_data,"解答:
正解:a,e(正答率 38.7%)"
115A68,115,A,68,base_data,"解答:
正解:a,d(正答率 93.9%)"
115A69,115,A,69,base_data,"解答:
正解:c,d(正答率 80.1%)"
115A7,115,A,7,base_data,"解答:
正解:c(正答率 69.6%)"
115A70,115,A,70,base_data,"解答:
正解:b,c(正答率 31.3%)"
115A71,115,A,71,base_data,"解答:
正解:a,c(正答率 98.9%)"
