問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新
115A11,115,A,11,,,,,,,,,,"解答:
正解:a,d(正答率 82.6%)",,
115A12,115,A,12,,,,,,,,,,"解答:
正解:a,e(正答率 67.2%)",,
115A13,115,A,13,,,,,,,,,,"解答:
正解:a,d(正答率 41.3%)",,
115A14,115,A,14,,,,,,,,,,"解答:
正解:a,b(正答率 77.3%)",,
115A15,115,A,15,,,,,,,,,,"解答:
正解:c,e(正答率 73.5%)",,
115A66,115,A,66,,,,,,,,,,"解答:
正解:a,e(正答率 49.7%)",,
115A67,115,A,67,,,,,,,,,,"解答:
正解:a,e(正答率 38.7%)",,
115A68,115,A,68,,,,,,,,,,"解答:
正解:a,d(正答率 93.9%)",,
115A69,115,A,69,,,,,,,,,,"解答:
正解:c,d(正答率 80.1%)",,
115A70,115,A,70,,,,,,,,,,"解答:
正解:b,c(正答率 31.3%)",,
115A71,115,A,71,,,,,,,,,,"解答:
正解:a,c(正答率 98.9%)",,
115A72,115,A,72,,,,,,,,,,"解答:
正解:d,e(正答率 97.5%)",,
115A73,115,A,73,,,,,,,,,,"解答:
正解:a,b(正答率 47.1%)",,
115A74,115,A,74,,,,,,,,,,"解答:
正解:a,e(正答率 89.6%)",,
115A75,115,A,75,,,,,,,,,,"解答:
正解:b,c,d(正答率 82.3%)",,
115C26,115,C,26,,,,,,,,,,"解答:
正解:b,c(正答率 85.2%)",,
115C27,115,C,27,,,,,,,,,,"解答:
正解:a,e(正答率 60.6%)",,
115C28,115,C,28,,,,,,,,,,"解答:
正解:a,e(正答率 62.1%)",,
115C29,115,C,29,,,,,,,,,,"解答:
正解:a,c(正答率 94.6%)",,
115C30,115,C,30,,,,,,,,,,"解答:
正解:d,e(正答率 93.2%)",,
115C31,115,C,31,,,,,,,,,,"解答:
正解:c,d(正答率 92.0%)",,
115C32,115,C,32,,,,,,,,,,"解答:
正解:a,e(正答率 85.7%)",,
115C33,115,C,33,,,,,,,,,,"解答:
正解:a,c,e(正答率 72.1%)",,
115C34,115,C,34,,,,,,,,,,"解答:
正解:b,c,d(正答率 54.5%)",,
115C55,115,C,55,,,,,,,,,,"解答:
正解:a,d(正答率 73.7%)",,
115C56,115,C,56,,,,,,,,,,"解答:
正解:a,d(正答率 96.9%)",,
115C57,115,C,57,,,,,,,,,,"解答:
正解:a,c(正答率 92.8%)",,
115C58,115,C,58,,,,,,,,,,"解答:
正解:b,d(正答率 24.5%)",,
115C59,115,C,59,,,,,,,,,,"解答:
正解:b,c,e(正答率 70.3%)",,
115C65,115,C,65,,,,,,,,,,"115C65
対応で正しいのはどれか。2つ選べ。 C063
a アドレナリン投与
b ダントロレン投与
c ドネペジルの中止
d 硫酸アトロピン投与
e アセトアミノフェン投与
================================================================================",,
